Year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2001,70,1966,581,4004,667,26,554,2207
2002,254,4722,957,7697,1886,97,1398,4828
2003,434,7231,910,8827,3533,168,1475,6075
2004,516,7870,1144,8927,3022,160,1800,7552
2005,448,8196,1171,8919,3193,218,2729,9090
2006,202,7648,1247,9943,2416,139,4728,9601
2007,453,8765,1414,16830,2869,350,9157,11139
2008,1001,20203,1236,23330,5103,906,21208,12398
2009,1974,85456,1731,36659,8794,2269,42120,15692
2010,960,38525,1303,34262,6812,1433,27733,16065
2011,1038,25331,1267,30937,5444,1725,26446,12862
2012,734,10810,1171,18973,3473,899,21594,11812
2013,453,9145,884,13410,2983,827,19608,10989
2014,451,9641,1026,13433,1930,962,20613,10672
2015,572,8612,1063,11805,2557,803,23087,10205
2016,677,8611,920,11442,2281,947,27702,9438
2017,705,8971,965,12024,2617,1034,29126,8702
2018,725,8877,987,12020,2850,1126,32085,8306
2019,971,7561,1041,11214,2998,1475,31520,8577
2020,1663,7206,1059,11921,5015,1189,36982,9368
2021,1296,7460,941,14841,5438,1443,57744,10121
2022,2030,20693,842,13936,4504,2110,67111,10792
2023,2157,72206,609,14830,5259,1453,54887,11429
2024,2356,37535,477,13766,4986,1517,63067,11927
2025,1286,7262,270,7436,2340,824,32030,7044
