Year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2001,0,12,6,33,41,0,15,11
2002,0,23,8,71,107,1,19,22
2003,3,134,10,150,246,9,98,14
2004,2,235,22,328,300,17,152,33
2005,4,291,35,339,380,13,254,90
2006,10,216,23,195,413,4,200,54
2007,48,779,26,475,1037,25,828,262
2008,278,2890,88,3087,3456,161,2036,2068
2009,803,14008,215,18283,8569,1452,8429,11157
2010,2323,69988,637,48697,16705,1889,35676,22293
2011,6860,80272,401,95303,63553,2475,60214,51667
2012,1522,53961,513,130252,41851,6364,66204,42653
2013,2411,33998,1024,71197,29187,7658,33332,21600
2014,1225,37210,1026,57748,15166,4207,40061,23496
2015,1066,33478,1197,39507,12081,2020,31354,20797
2016,1001,29498,1745,34423,12604,2487,26740,24199
2017,1946,43253,1950,46448,16190,2393,31358,31404
2018,3206,59329,2365,55087,21895,2642,47216,33112
2019,3808,77630,3505,70711,27089,2894,61740,36654
2020,5577,110788,3242,88408,36347,3363,74310,48285
2021,6465,110228,1940,90193,32598,4115,83137,48782
2022,9061,93082,1758,77371,29152,4114,62487,38692
2023,8420,105523,1366,81147,28064,5610,68519,35213
2024,4757,97666,1066,81436,25734,5279,66999,35543
2025,2268,41320,522,41412,12621,2981,31862,18214
